1	5105.442177	5105.442177
2	5195.918367	5195.918367
3	5661.224490	5661.224490
4	5674.149660	5674.149660
5	6333.333333	6333.333333
6	6914.965986	6914.965986
7	7276.870748	7276.870748
8	7276.870748	7276.870748
9	7793.877551	7793.877551
10	7910.204082	7910.204082
11	8168.707483	8168.707483
12	8220.408163	8220.408163
13	8569.387755	8569.387755
14	8595.238095	8595.238095
15	8982.993197	8982.993197
16	9008.843537	9008.843537
17	9745.578231	9745.578231
18	10611.564626	10611.564626
19	10973.469388	10973.469388
20	10999.319728	10999.319728
21	11374.149660	11374.149660
22	11412.925170	11412.925170
23	12227.210884	12227.210884
24	13106.122449	13106.122449
25	14721.768707	14721.768707
26	15044.897959	15044.897959
27	15368.027211	15368.027211
28	15613.605442	15613.605442
29	16259.863946	16259.863946
30	16285.714286	16285.714286
31	16957.823129	16957.823129
32	17035.374150	17035.374150
33	17629.931973	17629.931973
34	17642.857143	17642.857143
35	17823.809524	17823.809524
36	17875.510204	17875.510204
37	18276.190476	18276.190476
38	18276.190476	18276.190476
39	18663.945578	18663.945578
40	18663.945578	18663.945578
41	19426.530612	19426.530612
42	19840.136054	19840.136054
43	19840.136054	19840.136054
44	20240.816327	20240.816327
45	20240.816327	20240.816327
46	20589.795918	20589.795918
47	20990.476190	20990.476190
48	21003.401361	21003.401361
49	21765.986395	21765.986395
50	22567.346939	22567.346939
51	23549.659864	23549.659864
52	24208.843537	24208.843537
53	24648.299320	24648.299320
54	24997.278912	24997.278912
55	24997.278912	24997.278912
56	26561.224490	26561.224490
57	26910.204082	26910.204082
58	27310.884354	27310.884354
59	27310.884354	27310.884354
60	28086.394558	28086.394558
61	28848.979592	28848.979592
62	29197.959184	29197.959184
63	29197.959184	29197.959184
64	29521.088435	29521.088435
65	29559.863946	29559.863946
66	31149.659864	31149.659864
67	31472.789116	31472.789116
68	31472.789116	31472.789116
69	31860.544218	31860.544218
70	31873.469388	31873.469388
71	32636.054422	32636.054422
72	33437.414966	33437.414966
73	33450.340136	33450.340136
74	33670.068027	33670.068027
75	34019.047619	34019.047619
76	34070.748299	34070.748299
77	34936.734694	34936.734694
78	35673.469388	35673.469388
79	36319.727891	36319.727891
80	37069.387755	37069.387755
81	37793.197279	37793.197279
82	38542.857143	38542.857143
83	38930.612245	38930.612245
84	39279.591837	39279.591837
85	39318.367347	39318.367347
86	40029.251701	40029.251701
87	40791.836735	40791.836735
88	41567.346939	41567.346939
89	42355.782313	42355.782313
90	42678.911565	42678.911565
91	42989.115646	42989.115646
92	43195.918367	43195.918367
93	44204.081633	44204.081633
94	44514.285714	44514.285714
95	44578.911565	44578.911565
96	45121.768707	45121.768707
97	45276.870748	45276.870748
98	45328.571429	45328.571429
99	45716.326531	45716.326531
100	45716.326531	45716.326531
101	46039.455782	46039.455782
102	46065.306122	46065.306122
103	46814.965986	46814.965986
104	47538.775510	47538.775510
105	47926.530612	47926.530612
106	48314.285714	48314.285714
107	48327.210884	48327.210884
108	48908.843537	48908.843537
109	49736.054422	49736.054422
110	51300.000000	51300.000000
111	51661.904762	51661.904762
112	52075.510204	52075.510204
113	52114.285714	52114.285714
114	53200.000000	53200.000000
115	53510.204082	53510.204082
116	53510.204082	53510.204082
117	54053.061224	54053.061224
118	54298.639456	54298.639456
119	54634.693878	54634.693878
120	54634.693878	54634.693878
121	55009.523810	55009.523810
122	55009.523810	55009.523810
123	55617.006803	55617.006803
124	56056.462585	56056.462585
125	56056.462585	56056.462585
126	56457.142857	56457.142857
127	56457.142857	56457.142857
128	56844.897959	56844.897959
129	57271.428571	57271.428571
130	57271.428571	57271.428571
131	58021.088435	58021.088435
132	59055.102041	59055.102041
